"Line","BoardingTime","PassengerCount"
"GM24","2019-12-18T13:00",113
"KC06","2019-12-18T13:00",635
"KC33","2019-12-18T13:00",93
"KC35","2019-12-18T13:00",107
"KC35A","2019-12-18T13:00",118
"KF52","2019-12-18T13:00",92
"KL08","2019-12-18T13:00",765
"KM61","2019-12-18T13:00",166
"KPZ83","2019-12-18T13:00",133
"LC07","2019-12-18T13:00",367
"LC07A","2019-12-18T13:00",254
"LF09","2019-12-18T13:00",546
"LF10","2019-12-18T13:00",544
"MC12","2019-12-18T13:00",238
"MF40","2019-12-18T13:00",279
"ML22","2019-12-18T13:00",69
"MZ78","2019-12-18T13:00",139
"TB72","2019-12-18T13:00",167
"TC16","2019-12-18T13:00",163
"TC16A","2019-12-18T13:00",96
"TC93","2019-12-18T13:00",113
